order_type,original_code,order_code,nmv,seller_id,times
0,580664746,580664746,0,875,1634552224000
0,628050363,628050363,0,875,1634552224000
1,628050363,628050363,515000,875,1634552224000
0,390260333,390260333,0,875,1634552224000
1,390260333,940728408,129000,875,1634552224000
0,794855336,794855336,0,875,1634552224000
1,794855336,794855336,885000,875,1634552224000
0,708957644,708957644,0,875,1634552224000
1,708957644,708957644,609000,875,1634552224000
0,417094058,417094058,0,875,1634552224000
1,417094058,417094058,310000,875,1634552224000
0,706672971,706672971,0,875,1634552224000
1,706672971,792337655,424000,875,1634552224000
0,563428825,563428825,0,875,1616371200000
1,563428825,563428825,294000,875,1616371200000
0,208497720,208497720,0,875,1616544000000
1,208497720,208497720,294000,875,1616544000000
2,563428825,563428825,-294000,875,1616544000000
0,220867146,220867146,0,875,1634638624000
1,220867146,220867146,844000,875,1634638624000
0,757125728,757125728,0,875,1634638624000
1,757125728,757125728,295500,875,1634638624000
0,209885535,209885535,0,875,1634638624000
1,209885535,619919118,949506,875,1634638624000
2,757125728,757125728,-295500,875,1634638624000
0,405931222,405931222,0,875,1634638624000
1,405931222,462730381,187000,875,1634638624000
0,875120722,875120722,0,875,1634638624000
1,875120722,875120722,330500,875,1634638624000
0,940241956,940241956,0,875,1634638624000
1,940241956,940241956,359000,875,1634638624000
0,318420467,318420467,0,875,1634638624000
1,318420467,318420467,239000,875,1634638624000
2,940241956,940241956,-359000,875,1634725024000
0,404575045,404575045,0,875,1634725024000
1,404575045,404575045,359000,875,1634725024000
0,706941202,706941202,0,875,1634725024000
0,706941202,706941202,0,875,1634725024000
1,706941202,706941202,701171,875,1634725024000
1,706941202,706941202,1027777,875,1634725024000
0,706941202,706941202,0,875,1634725024000
1,706941202,706941202,1165052,875,1634725024000
0,504202626,504202626,0,875,1634725024000
0,628559641,628559641,0,875,1634725024000
0,628559641,628559641,0,875,1634725024000
1,504202626,504202626,218000,875,1634725024000
1,628559641,658857605,161300,875,1634725024000
1,628559641,658857605,162700,875,1634725024000
0,644266898,644266898,0,875,1634725024000
1,644266898,644266898,224000,875,1634725024000
0,970661260,970661260,0,875,1634725024000
1,970661260,970661260,205800,875,1634725024000
0,813236398,813236398,0,875,1634725024000
0,813236398,813236398,0,875,1634725024000
1,813236398,813236398,189500,875,1634725024000
1,813236398,813236398,163520,875,1634725024000
0,813236398,813236398,0,875,1634725024000
1,813236398,813236398,372000,875,1634725024000
0,638315726,638315726,0,875,1634725024000
0,963289267,963289267,0,875,1634725024000
1,638315726,638315726,455000,875,1634725024000
1,963289267,425237140,280000,875,1634725024000
0,463092967,463092967,0,875,1634725024000
1,463092967,463092967,284500,875,1634725024000
0,458701373,458701373,0,875,1634725024000
1,458701373,458701373,234000,875,1634725024000
0,231425225,231425225,0,875,1634811424000
1,231425225,231425225,235000,875,1634811424000
0,234712341,234712341,0,875,1634811424000
1,234712341,234712341,289000,875,1634811424000
0,675505772,675505772,0,875,1634811424000
1,675505772,675505772,252000,875,1634811424000
0,568331462,568331462,0,875,1634811424000
1,568331462,576240308,280000,875,1634811424000
0,215021221,215021221,0,875,1634811424000
1,215021221,215021221,180000,875,1634811424000
0,807690937,807690937,0,875,1634811424000
1,807690937,807690937,238000,875,1634811424000
0,906613832,906613832,0,875,1634811424000
1,906613832,906613832,211000,875,1634811424000
0,620494187,620494187,0,875,1634811424000
1,620494187,620494187,250000,875,1634811424000
0,468904664,468904664,0,875,1634811424000
1,468904664,468904664,255000,875,1634811424000
0,349485229,349485229,0,875,1634811424000
1,349485229,263677740,151000,875,1634811424000
0,888824958,888824958,0,875,1634811424000
1,888824958,888824958,175000,875,1634811424000
0,431178075,431178075,0,875,1634811424000
1,431178075,771252545,245000,875,1634811424000
0,259439329,259439329,0,875,1634811424000
0,259439329,259439329,0,875,1634811424000
1,259439329,228557207,204000,875,1634811424000
1,259439329,228557207,204000,875,1634811424000
0,865429403,865429403,0,875,1634811424000
1,865429403,865429403,204000,875,1634811424000
0,429891751,429891751,0,875,1634811424000
1,429891751,429891751,250000,875,1634811424000
0,289543268,289543268,0,875,1634811424000
1,289543268,552315526,175000,875,1634811424000
2,259439329,228557207,-204000,875,1634811424000
2,259439329,228557207,-204000,875,1634811424000
0,415213251,415213251,0,875,1634811424000
0,929352991,929352991,0,875,1634811424000
1,415213251,415213251,259000,875,1634811424000
0,279672396,279672396,0,875,1634811424000
0,722861206,722861206,0,875,1634811424000
1,279672396,279672396,245000,875,1634811424000
1,722861206,722861206,1029000,875,1634811424000
0,342204588,342204588,0,875,1634811424000
1,342204588,342204588,885000,875,1634811424000
0,890314377,890314377,0,875,1634811424000
0,775449814,775449814,0,875,1634811424000
0,903780253,903780253,0,875,1634811424000
1,775449814,775449814,250000,875,1634811424000
1,903780253,903780253,140000,875,1634811424000
0,811776596,811776596,0,875,1634897824000
1,811776596,811776596,180000,875,1634897824000
0,238824790,238824790,0,875,1634897824000
1,238824790,238824790,204000,875,1634897824000
0,490456085,490456085,0,875,1634897824000
1,490456085,490456085,204000,875,1634897824000
0,328958001,328958001,0,875,1634897824000
0,254900136,254900136,0,875,1634897824000
1,328958001,553454700,229335,875,1634897824000
1,254900136,254900136,235000,875,1634897824000
0,350735346,350735346,0,875,1634897824000
1,350735346,350735346,235000,875,1634897824000
0,632974558,632974558,0,875,1634897824000
1,632974558,744858103,184000,875,1634897824000
0,878591475,878591475,0,875,1634897824000
0,501191686,501191686,0,875,1634897824000
0,680849731,680849731,0,875,1634897824000
1,501191686,501191686,170000,875,1634897824000
1,680849731,680849731,1017000,875,1634897824000
0,675321512,675321512,0,875,1634897824000
1,675321512,639669179,250000,875,1634897824000
2,350735346,350735346,-235000,875,1634897824000
0,385720311,385720311,0,875,1634897824000
0,599443132,599443132,0,875,1634897824000
1,599443132,357538901,199000,875,1634897824000
0,488768515,488768515,0,875,1634897824000
1,488768515,488768515,3360000,875,1634897824000
0,654530320,654530320,0,875,1634897824000
1,654530320,654530320,270000,875,1634897824000
2,654530320,654530320,-270000,875,1634897824000
0,570694210,570694210,0,875,1634897824000
1,570694210,893504697,259000,875,1634897824000
0,711451009,711451009,0,875,1634897824000
0,711451009,711451009,0,875,1634897824000
0,792061581,792061581,0,875,1634897824000
1,711451009,805000746,415000,875,1634897824000
1,711451009,805000746,160000,875,1634897824000
0,999284603,999284603,0,875,1634897824000
0,758425618,758425618,0,875,1634897824000
0,283523790,283523790,0,875,1634897824000
1,999284603,999284603,175000,875,1634897824000
1,283523790,283523790,1860000,875,1634897824000
2,490456085,490456085,-204000,875,1634897824000
0,486764408,486764408,0,875,1634984224000
1,486764408,218173207,180000,875,1634984224000
0,239180535,239180535,0,875,1634984224000
1,239180535,239180535,220000,875,1634984224000
2,711451009,805000746,-415000,875,1634984224000
2,711451009,805000746,-160000,875,1634984224000
