times,seller_id,revenue,unit_sold,total_order,cost,total_usage,total_buyer,coupon_code,coupon_name,coupon_id,active_from,active_to,coupon_type,total_coupon,coupon_status
2021-07-21T00:00:00,1,461173,13,1,13495,4,1,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-21T00:00:00,875,508228,5,1,72527,1,1,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-21T00:00:00,22441,211728,17,5,53285,9,5,HMY7PIWLG9,"$62,195. Males known compound that arise from the Arabian",181417,2021-07-04,2021-07-23,1,171,0
2021-07-21T00:00:00,1,341029,3,8,26306,8,7,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-21T00:00:00,875,64020,18,8,38119,9,4,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-21T00:00:00,22441,93193,8,2,40313,2,1,Y5PJEZ5M5S,Sunlight cannot scientists began to cater for richer clients in the quest to turn,320577,2021-07-18,2021-07-24,1,69,0
2021-07-21T00:00:00,1,513232,10,1,75567,3,1,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-21T00:00:00,875,18223,1,8,75840,9,4,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-21T00:00:00,22441,561930,1,2,95092,2,2,CFS6DT6L4D,"Time, concerns airport, handling",657443,2021-07-16,2021-07-29,1,351,0
2021-07-21T00:00:00,1,34916,15,2,95090,9,2,F7SEBFNAAO,"Netherlands: UB Egyptian curriculum influenced other Arab education systems, which often need to re-calculate",732746,2021-07-13,2021-07-28,1,468,0
